Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
employee testsuite,Chrome 76.0.3809.100,"Admin login       \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\nadd taskgroup and role.: \t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\tname :code description : tvin        \n\t\ttasks :all - role-create\t\t\t\t\t\t\t\t\t\t\t\t\n\t\trole :def  amd tgroup871  verify 2 and 32\t\t\t\t\t\t\t\nadd existing taskgroup and role should fail\t\t\t\t\t\t\t\t\t\nedit taskgroup roles.\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\trole :tgroup 871  verify 2 and 33\nadd role\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\tname :code description : rvin\t\n\t\ttask\ttvinn and a  verify 2\nadd existing role and role should fail\t\t\t\t\t\t\t\t\t\t\nedit role\t\n\t\ttask tvinn verify 1\t\t\nAdd employee  : id : 1000 , loginname :temployee email : t@email.com  name : testing \t\t\t\t\t\t\n\taccess : everything except rvinn \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tNO  \nAdd existing employee should fail\t\t\t\t\t\t\t\t\t\t\t\nedit employee  \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\tname      :     test\n\taccess    :     rvinn\t\nemployee login\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\tchange password  : Zxc@123\nadmin login\ninactive employee  :  temployee\t\t\t\t\t\t\t\t\t\t\t\t\ninactive employee login \t\t\t\t\t\t\t\t\t\t\nwrong admin login should fail\t\t\t\t\t\t\t\t\t\t\t\t\nadmin login\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\nactivate employee\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\nreset password and login: Abc@123\ndelete role before employee should give error\t\t  \t\t\t\t\t\t\ndelete employee\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\ndelete taskgroup : tvinn  verify not possible message\t\t\t\t\t\t\ndelete role : rvinn verify message\t\t\t\t\t\t\t\t\t\t\t\ndelete taskgroup : tvinn verify  message",,2019-08-28 15:09:42,2019-08-28 15:10:03,20.927s,INCOMPLETE
,,,,,,,
Test Cases/Login/AdminLogin_ShouldSucceed,Chrome 76.0.3809.100,Logs in to the machine and closes the browser.,login,2019-08-28 15:09:43,2019-08-28 15:10:03,20.767s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-28 15:09:43,2019-08-28 15:09:48,5.601s,PASSED
maximizeWindow(),Chrome 76.0.3809.100,,,2019-08-28 15:09:48,2019-08-28 15:09:51,2.140s,PASSED
navigateToUrl(login_url),Chrome 76.0.3809.100,,,2019-08-28 15:09:51,2019-08-28 15:09:53,2.511s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/input_Sign in_mat-input-0""), username_admin)",Chrome 76.0.3809.100,,,2019-08-28 15:09:53,2019-08-28 15:09:56,3.117s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/input_Username_mat-input-1""), username_admins_Password)",Chrome 76.0.3809.100,,,2019-08-28 15:09:56,2019-08-28 15:09:59,3.131s,PASSED
"click(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/button_Login""))",Chrome 76.0.3809.100,,,2019-08-28 15:09:59,2019-08-28 15:10:01,2.061s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-28 15:10:01,2019-08-28 15:10:03,1.997s,PASSED
